,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
MEAN_MOTION,1.0,-0.10684405300087135,0.8091096324742735,0.13553100802469198,-0.17303401469309485,0.10571975105711287,0.013461625428682641,0.025386273564930766,0.010466086953760853
ECCENTRICITY,-0.10684405300087135,1.0,-0.07473603569468751,-0.018318020699590737,-0.024341406160335026,0.0415363477674026,-0.0011604105318464711,0.006988341591629656,0.002864634397103812
INCLINATION,0.8091096324742735,-0.07473603569468751,1.0,0.13569851081947706,-0.2419843970410699,0.1955538794999401,0.007743741395944728,0.028424210892962674,0.0037072990267245313
RA_OF_ASC_NODE,0.13553100802469198,-0.018318020699590737,0.13569851081947706,1.0,-0.05500820865148141,0.058464442182845036,0.00596719314847389,0.013657208529809518,0.0007394185877825324
ARG_OF_PERICENTER,-0.17303401469309485,-0.024341406160335026,-0.2419843970410699,-0.05500820865148141,1.0,-0.49421634793672836,-0.0023526606075047027,0.00022602721509480133,0.008586047724525871
MEAN_ANOMALY,0.10571975105711287,0.0415363477674026,0.1955538794999401,0.058464442182845036,-0.49421634793672836,1.0,-0.0042914103960533965,-0.0007242952042548497,-0.004600304311232291
BSTAR,0.013461625428682641,-0.0011604105318464711,0.007743741395944728,0.00596719314847389,-0.0023526606075047027,-0.0042914103960533965,1.0,0.5850782229723975,0.002723566123572901
MEAN_MOTION_DOT,0.025386273564930766,0.006988341591629656,0.028424210892962674,0.013657208529809518,0.00022602721509480133,-0.0007242952042548497,0.5850782229723975,1.0,0.15284548950562635
MEAN_MOTION_DDOT,0.010466086953760853,0.002864634397103812,0.0037072990267245313,0.0007394185877825324,0.008586047724525871,-0.004600304311232291,0.002723566123572901,0.15284548950562635,1.0
