,Min
ARG_OF_PERICENTER,-0.49421634793672836
MEAN_ANOMALY,-0.49421634793672836
INCLINATION,-0.2419843970410699
MEAN_MOTION,-0.17303401469309485
ECCENTRICITY,-0.10684405300087135
RA_OF_ASC_NODE,-0.05500820865148141
MEAN_MOTION_DDOT,-0.004600304311232291
BSTAR,-0.0042914103960533965
MEAN_MOTION_DOT,-0.0007242952042548497
