,Max
MEAN_MOTION,0.8091096324742735
INCLINATION,0.8091096324742735
BSTAR,0.5850782229723975
MEAN_MOTION_DOT,0.5850782229723975
MEAN_ANOMALY,0.1955538794999401
MEAN_MOTION_DDOT,0.15284548950562635
RA_OF_ASC_NODE,0.13569851081947706
ECCENTRICITY,0.0415363477674026
ARG_OF_PERICENTER,0.008586047724525871
