MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.00270419;0.0003131;0.0157;148.7222;208.0937;275.9867;0;-7.0E-7;0;Intelsat
1.00270364;0.0003157;0.0164;146.7011;210.9003;39.3884;0;-7.2E-7;0;Intelsat
1.00270305;0.0003166;0.0181;147.0399;212.5306;296.5812;0;-7.4E-7;0;Intelsat
1.00270262;0.0003186;0.0187;145.7925;214.5864;39.4302;0;-7.5E-7;0;Intelsat
1.00270228;0.0003194;0.0201;146.5831;215.837;296.5393;0;-7.8E-7;0;Intelsat
1.00270201;0.0003206;0.0203;145.9054;217.5947;21.6581;0;-7.8E-7;0;Intelsat
1.00270193;0.0003231;0.0209;146.0649;218.666;190.8056;0;-8.0E-7;0;Intelsat
1.00270211;0.0003215;0.0213;146.428;219.2388;296.1092;0;-8.0E-7;0;Intelsat
1.00270228;0.0003228;0.0217;146.0012;220.9069;53.8845;0;-8.1E-7;0;Intelsat
1.00270243;0.0003247;0.0218;145.8086;222.0947;181.6001;0;-8.2E-7;0;Intelsat
1.00270258;0.0003242;0.0219;145.7355;222.3797;211.4523;0;-8.2E-7;0;Intelsat
1.00272036;0.0003157;0.0197;119.8448;245.0007;147.0091;0;-8.2E-7;0;Intelsat
1.00272089;0.0003148;0.0157;112.5886;253.2512;271.0904;0;-8.2E-7;0;Intelsat
1.00272259;0.0003163;0.016;98.6048;269.8356;249.8872;0;-8.2E-7;0;Intelsat
1.00272282;0.0003157;0.0165;97.241;271.4674;301.4535;0;-8.2E-7;0;Intelsat
1.00272488;0.0003165;0.0201;93.8667;277.2383;275.9457;0;-8.1E-7;0;Intelsat
1.00272501;0.0003162;0.0204;93.4389;277.7584;301.7706;0;-8.1E-7;0;Intelsat
1.00272729;0.0003168;0.0238;90.5032;283.2325;276.1349;0;-8.0E-7;0;Intelsat
1.00272744;0.0003166;0.0241;90.1363;283.6537;301.9664;0;-8.0E-7;0;Intelsat
1.00270816;0.0003126;0.0261;88.5808;284.9615;253.1939;0;-7.9E-7;0;Intelsat
1.00270944;0.0003128;0.0264;88.2041;285.3115;279.1375;0;-7.9E-7;0;Intelsat
1.00270281;0.0003164;0.018;274.0794;99.1953;142.8384;0;-7.9E-7;0;Intelsat
1.00270294;0.0003163;0.0163;271.5971;102.4245;266.2954;0;-7.8E-7;0;Intelsat
1.00270743;0.0003122;0.0136;255.9221;119.6446;256.7657;0;-7.7E-7;0;Intelsat
1.00270837;0.0003106;0.0139;253.8624;120.7452;283.6569;0;-7.8E-7;0;Intelsat
1.00271055;0.000308;0.0154;245.4714;128.8431;91.7126;0;-7.7E-7;0;Intelsat
1.00270539;0.0003002;0.0132;194.6388;182.3889;179.2417;0;-7.6E-7;0;Intelsat
1.00270533;0.0002998;0.0135;193.0221;184.1078;234.8763;0;-7.6E-7;0;Intelsat
1.00270461;0.0003003;0.0136;192.9639;184.3355;286.5404;0;-7.6E-7;0;Intelsat
1.00270459;0.0002977;0.0139;186.9395;190.1207;182.5029;0;-7.5E-7;0;Intelsat
1.00270445;0.0002969;0.0144;185.9471;191.3289;285.3562;0;-7.5E-7;0;Intelsat
1.00270355;0.0002981;0.0154;181.477;199.8801;288.0982;0;-7.4E-7;0;Intelsat
1.00270334;0.0002958;0.0162;178.7927;203.093;290.3707;0;-7.2E-7;0;Intelsat
1.00270333;0.0002957;0.0162;178.2969;203.419;344.0788;0;-7.2E-7;0;Intelsat
1.00270337;0.000294;0.0166;177.1957;204.7617;293.1023;0;-7.0E-7;0;Intelsat
1.00270359;0.0002951;0.0166;176.2467;205.6253;152.0282;0;-6.8E-7;0;Intelsat
1.00270374;0.0002931;0.0165;175.8418;206.0392;295.9718;0;-6.8E-7;0;Intelsat
1.00270464;0.000294;0.016;174.2517;207.5779;272.9084;0;-6.5E-7;0;Intelsat
1.00270589;0.0002958;0.0151;170.6781;211.0695;289.0272;0;-6.3E-7;0;Intelsat
1.00272871;0.000296;0.0199;135.9797;246.1271;184.5361;0;-6.1E-7;0;Intelsat
1.00272863;0.0002961;0.0218;103.6111;278.469;272.611;0;-6.0E-7;0;Intelsat
1.00272942;0.000296;0.0199;130.0639;252.0888;47.7754;0;-6.0E-7;0;Intelsat
1.00272945;0.0002975;0.0245;95.3596;286.9027;184.6992;0;-5.9E-7;0;Intelsat
1.00272939;0.0002977;0.0255;93.2558;288.9612;280.9465;0;-5.9E-7;0;Intelsat
1.00270542;0.0002774;0.0191;279.0777;94.7707;292.1066;0;-5.9E-7;0;Intelsat
1.00270696;0.00028;0.016;278.5465;95.8354;295.1927;0;-5.9E-7;0;Intelsat
1.00270673;0.0002824;0.0132;277.4163;97.7391;270.4727;0;-6.1E-7;0;Intelsat
1.00270631;0.0002842;0.0131;271.0982;104.5335;191.2102;0;-6.2E-7;0;Intelsat
1.00270664;0.0002857;0.0148;264.6601;110.9096;298.7699;0;-6.3E-7;0;Intelsat
1.00272016;0.0002898;0.0156;261.8055;113.2352;106.1542;0;-6.4E-7;0;Intelsat
1.00271995;0.0002928;0.0163;259.6061;116.0217;275.6162;0;-6.6E-7;0;Intelsat
1.00270563;0.0003041;0.0134;229.1047;149.9759;175.0174;0;-6.8E-7;0;Intelsat
1.0027052;0.0003062;0.0135;226.3494;153.9735;299.6401;0;-7.0E-7;0;Intelsat
1.00270441;0.0003109;0.0132;218.3901;164.4414;290.6911;0;-7.3E-7;0;Intelsat
1.00270404;0.0003155;0.0131;212.7213;172.4282;272.6394;0;-7.5E-7;0;Intelsat
1.00270396;0.0003157;0.013;212.5506;172.7626;300.2511;0;-7.6E-7;0;Intelsat
1.00270422;0.0003206;0.0125;208.9605;179.6093;299.8082;0;-7.8E-7;0;Intelsat
1.0027055;0.000324;0.0115;206.4202;184.981;299.7051;0;-7.8E-7;0;Intelsat
1.00270736;0.000327;0.0104;204.5616;189.4272;248.1688;0;-7.8E-7;0;Intelsat
1.00270975;0.0003294;0.0087;199.14;197.8603;222.048;0;-7.7E-7;0;Intelsat
1.00272777;0.0003272;0.0083;188.1313;209.0411;258.5352;0;-7.7E-7;0;Intelsat
1.00272662;0.0003202;0.0084;186.5548;206.362;158.2987;0;-7.6E-7;0;Intelsat
1.00272808;0.0003217;0.0084;183.5964;211.2054;268.6099;0;-7.6E-7;0;Intelsat
1.00272909;0.0003224;0.0224;113.1576;282.5058;176.443;0;-7.5E-7;0;Intelsat
1.00272962;0.0003218;0.0357;74.2588;321.9203;272.1208;0;-7.4E-7;0;Intelsat
1.00267981;0.000317;0.0361;75.209;316.5399;258.049;0;-7.4E-7;0;Intelsat
1.00271407;0.0003355;0.0135;283.7863;113.4287;181.1785;0;-7.3E-7;0;Intelsat
1.00271763;0.0003331;0.0129;284.2595;113.1299;284.6787;0;-7.3E-7;0;Intelsat
1.0027198;0.0003314;0.0113;284.4772;113.8023;185.8163;0;-7.2E-7;0;Intelsat
1.00272016;0.000331;0.0117;280.7974;117.7484;286.3273;0;-7.2E-7;0;Intelsat
1.00272206;0.0003288;0.0136;278.3058;121.2514;186.8932;0;-7.1E-7;0;Intelsat
1.00272239;0.0003285;0.0141;276.693;123.0705;287.9307;0;-7.1E-7;0;Intelsat
1.00272338;0.0003286;0.0152;275.9042;126.4012;184.9504;0;-7.0E-7;0;Intelsat
1.00272377;0.0003285;0.0153;275.7052;126.8794;268.8654;0;-7.0E-7;0;Intelsat
1.00272386;0.0003284;0.0152;275.7874;126.8135;287.8889;0;-7.0E-7;0;Intelsat
1.00272542;0.0003256;0.016;277.4206;126.4067;289.459;0;-6.9E-7;0;Intelsat
1.0027258;0.000325;0.0161;278.4267;125.5631;32.9652;0;-6.8E-7;0;Intelsat
1.00270392;0.0003173;0.0136;262.2501;144.7478;289.112;0;-6.7E-7;0;Intelsat
1.00270407;0.000317;0.0133;260.8888;146.1037;32.7542;0;-6.7E-7;0;Intelsat
1.00270386;0.0003122;0.0126;260.7626;146.5683;291.5784;0;-6.5E-7;0;Intelsat
1.00270405;0.0003128;0.0124;260.0517;147.6114;34.8829;0;-6.4E-7;0;Intelsat
1.00270406;0.0003082;0.0116;261.3668;146.4143;293.9015;0;-6.3E-7;0;Intelsat
1.00270437;0.0003084;0.0115;261.4474;146.3219;37.5815;0;-6.2E-7;0;Intelsat
1.00270473;0.0003044;0.0105;264.714;142.942;296.7943;0;-6.0E-7;0;Intelsat
1.00270514;0.0003047;0.0104;265.6236;141.951;40.5441;0;-5.9E-7;0;Intelsat
1.00270592;0.0003022;0.0094;271.5264;135.7747;274.0351;0;-5.8E-7;0;Intelsat
