MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.00281244;0.0001457;11.1663;29.8401;257.9556;347.255;0;9.4E-7;0;Weather
1.00281504;0.0001437;11.1672;29.8337;261.0625;304.486;0;9.2E-7;0;Weather
1.00281821;0.0001397;11.1681;29.8266;264.7103;291.3326;0;8.9E-7;0;Weather
1.00281995;0.0001366;11.1686;29.823;266.5307;110.9385;0;8.8E-7;0;Weather
1.00282171;0.0001344;11.1691;29.8197;268.3693;269.6214;0;8.7E-7;0;Weather
1.00282219;0.0001332;11.1691;29.8189;268.6832;309.0521;0;8.7E-7;0;Weather
1.00282433;0.00013;11.1697;29.8151;270.7321;137.5431;0;8.6E-7;0;Weather
1.00282589;0.0001275;11.17;29.8125;272.2568;263.6026;0;8.5E-7;0;Weather
1.00283045;0.0001198;11.171;29.8056;275.9954;248.4836;0;8.4E-7;0;Weather
1.00283167;0.0001171;11.1712;29.8038;276.3775;334.0778;0;8.4E-7;0;Weather
1.00283596;0.0001102;11.172;29.7979;279.7618;266.3356;0;8.3E-7;0;Weather
1.00284153;0.0001009;11.1729;29.7907;283.0674;261.3353;0;8.3E-7;0;Weather
1.0028445;9.65E-5;11.1734;29.787;283.7385;82.0826;0;8.3E-7;0;Weather
1.00284736;9.13E-5;11.1739;29.7833;285.8606;257.291;0;8.3E-7;0;Weather
1.00285156;8.48E-5;11.1745;29.7781;287.1074;145.4798;0;8.4E-7;0;Weather
1.00285329;8.15E-5;11.1748;29.7758;287.9185;254.0164;0;8.4E-7;0;Weather
1.00285902;7.23E-5;11.1757;29.7683;288.7554;240.1864;0;8.5E-7;0;Weather
1.00286039;7.08E-5;11.1759;29.7664;288.4189;326.2052;0;8.5E-7;0;Weather
1.00286492;6.27E-5;11.1766;29.7604;288.8407;245.7366;0;8.6E-7;0;Weather
1.00286627;6.17E-5;11.1769;29.7584;288.2781;333.4398;0;8.7E-7;0;Weather
1.00287077;5.5E-5;11.1776;29.7521;286.2173;265.2197;0;8.8E-7;0;Weather
1.00287154;5.43E-5;11.1777;29.751;285.8762;316.211;0;8.8E-7;0;Weather
1.00287611;4.94E-5;11.1785;29.7442;281.1837;271.1947;0;9.0E-7;0;Weather
1.00287835;4.92E-5;11.1789;29.7406;278.7237;72.0475;0;9.0E-7;0;Weather
1.00288042;4.73E-5;11.1792;29.7374;275.0383;221.1141;0;9.1E-7;0;Weather
1.0028817;4.62E-5;11.1795;29.7352;273.0866;317.2577;0;9.2E-7;0;Weather
1.00288685;4.54E-5;11.1804;29.7265;264.7867;355.1114;0;9.4E-7;0;Weather
1.00289035;4.71E-5;11.181;29.7202;259.0883;279.7637;0;9.6E-7;0;Weather
1.00289141;4.72E-5;11.1812;29.7182;257.4661;8.4861;0;9.6E-7;0;Weather
1.00289473;5.04E-5;11.1819;29.7119;253.3026;291.1032;0;9.8E-7;0;Weather
1.00289892;5.52E-5;11.1828;29.7034;249.3771;304.8368;0;1.0E-6;0;Weather
1.0028992;5.55E-5;11.1828;29.7028;249.0282;330.2084;0;1.0E-6;0;Weather
1.00260923;0.0001796;11.1833;29.6912;57.9693;176.5918;0;1.0E-6;0;Weather
1.00256406;0.0001672;11.1842;29.6846;67.4947;102.2099;0;1.01E-6;0;Weather
1.00256432;0.0001667;11.1843;29.684;67.5171;128.0636;0;1.01E-6;0;Weather
1.00256735;0.0001606;11.1851;29.6767;67.3416;105.0827;0;1.02E-6;0;Weather
1.00256758;0.00016;11.1851;29.6761;67.2591;131.0472;0;1.02E-6;0;Weather
1.00257048;0.0001553;11.186;29.6688;66.7758;120.9117;0;1.02E-6;0;Weather
1.00257548;0.0001471;11.1875;29.6553;64.6652;16.1116;0;1.02E-6;0;Weather
1.00257742;0.0001437;11.1882;29.6502;62.6857;265.7241;0;1.02E-6;0;Weather
1.00257915;0.0001435;11.1887;29.6456;61.2589;130.4594;0;1.01E-6;0;Weather
1.00257982;0.000142;11.1889;29.644;60.3547;208.3351;0;1.0E-6;0;Weather
1.00258192;0.0001415;11.1896;29.6383;58.4045;129.4525;0;9.9E-7;0;Weather
1.0025839;0.0001423;11.1903;29.6327;56.382;41.3783;0;9.7E-7;0;Weather
1.00258533;0.0001464;11.1907;29.6292;54.9615;223.7835;0;9.6E-7;0;Weather
1.00258754;0.0001487;11.1914;29.6239;53.051;138.6285;0;9.4E-7;0;Weather
1.0025881;0.0001521;11.1916;29.6225;52.8968;206.7325;0;9.3E-7;0;Weather
1.00259113;0.0001591;11.1924;29.6158;51.2158;190.5287;0;9.1E-7;0;Weather
1.00259505;0.0001696;11.1934;29.608;50.2077;221.9869;0;8.8E-7;0;Weather
1.00260971;0.0001683;11.1943;29.603;48.132;132.2412;0;8.6E-7;0;Weather
1.00261089;0.0001722;11.1945;29.6014;48.5131;225.4033;0;8.6E-7;0;Weather
1.00261434;0.0001809;11.1951;29.596;48.5175;148.6592;0;8.5E-7;0;Weather
1.00262047;0.0001944;11.1963;29.5873;49.8509;214.2363;0;8.3E-7;0;Weather
1.00262646;0.0002027;11.1973;29.5794;51.0624;245.8511;0;8.3E-7;0;Weather
1.00262837;0.0002066;11.1976;29.577;51.3712;7.1102;0;8.3E-7;0;Weather
1.00263029;0.0002102;11.1979;29.5744;51.8729;133.257;0;8.3E-7;0;Weather
1.00263595;0.0002189;11.1987;29.5673;53.5953;128.0486;0;8.3E-7;0;Weather
1.00263756;0.0002196;11.199;29.5652;54.1499;226.8157;0;8.3E-7;0;Weather
1.00264196;0.000226;11.1997;29.5596;55.5804;135.085;0;8.4E-7;0;Weather
1.00264314;0.0002258;11.1998;29.558;55.9567;208.0178;0;8.4E-7;0;Weather
1.00264784;0.0002304;11.2006;29.552;57.6301;135.8174;0;8.4E-7;0;Weather
1.00264903;0.0002305;11.2008;29.5504;57.9638;211.2525;0;8.5E-7;0;Weather
1.002654;0.0002341;11.2015;29.5437;59.8228;165.5716;0;8.6E-7;0;Weather
1.00265477;0.0002338;11.2017;29.5426;59.998;215.0684;0;8.6E-7;0;Weather
1.00265884;0.0002355;11.2023;29.5368;61.6666;125.1063;0;8.7E-7;0;Weather
1.00266023;0.0002355;11.2025;29.5348;62.0144;217.5314;0;8.7E-7;0;Weather
1.00266423;0.0002356;11.2032;29.5288;63.6384;134.7307;0;8.9E-7;0;Weather
1.00266515;0.0002356;11.2034;29.5274;63.8748;198.2354;0;8.9E-7;0;Weather
1.00266893;0.0002341;11.204;29.5214;65.2947;113.4177;0;9.0E-7;0;Weather
1.00266936;0.0002341;11.2041;29.5207;65.4736;147.0425;0;9.1E-7;0;Weather
1.0026748;0.0002311;11.205;29.5115;67.2908;206.2618;0;9.3E-7;0;Weather
1.00267826;0.0002273;11.2057;29.5051;68.3649;129.3066;0;9.4E-7;0;Weather
1.00268051;0.0002262;11.2061;29.5008;68.9396;321.7634;0;9.5E-7;0;Weather
1.00268339;0.0002223;11.2067;29.4952;69.9115;215.1512;0;9.7E-7;0;Weather
1.00268731;0.0002166;11.2075;29.4871;70.7804;219.7078;0;9.9E-7;0;Weather
1.00269074;0.0002106;11.2083;29.4796;71.2086;199.3064;0;1.0E-6;0;Weather
1.00269314;0.0002067;11.2089;29.4742;71.2615;88.5963;0;1.01E-6;0;Weather
1.00269346;0.0002059;11.2089;29.4734;71.2536;124.1464;0;1.01E-6;0;Weather
1.00269475;0.000204;11.2093;29.4703;71.5578;268.0324;0;1.02E-6;0;Weather
1.00269689;0.0001998;11.2098;29.4652;71.1164;144.6258;0;1.02E-6;0;Weather
1.00269746;0.0001987;11.21;29.4637;71.1009;211.0298;0;1.03E-6;0;Weather
1.00269974;0.0001949;11.2106;29.458;70.5879;123.4416;0;1.03E-6;0;Weather
1.00270066;0.0001931;11.2109;29.4555;70.366;240.8647;0;1.03E-6;0;Weather
1.00270237;0.0001907;11.2114;29.4511;69.8251;93.1958;0;1.03E-6;0;Weather
1.00270476;0.0001873;11.2122;29.4446;68.801;47.9725;0;1.02E-6;0;Weather
1.00270597;0.0001866;11.2125;29.4414;67.661;207.2736;0;1.02E-6;0;Weather
1.002708;0.0001853;11.2132;29.436;66.5212;116.9668;0;1.0E-6;0;Weather
1.00270872;0.0001857;11.2134;29.434;65.8163;214.8344;0;1.0E-6;0;Weather
1.00271075;0.0001856;11.214;29.4288;64.5342;121.7464;0;9.9E-7;0;Weather
1.00271431;0.0001901;11.2151;29.4201;62.0859;206.7662;0;9.6E-7;0;Weather
1.00271787;0.0001962;11.2161;29.412;60.2501;259.7556;0;9.3E-7;0;Weather
1.00272012;0.0002001;11.2166;29.4075;59.2987;135.3793;0;9.1E-7;0;Weather
1.00272103;0.0002027;11.2168;29.4058;59.2179;220.0098;0;9.0E-7;0;Weather
1.00272391;0.0002086;11.2174;29.4004;58.3776;139.1073;0;8.9E-7;0;Weather
1.00272495;0.0002113;11.2176;29.3986;58.4801;226.3908;0;8.8E-7;0;Weather
1.0027285;0.000219;11.2184;29.3926;58.0675;171.7049;0;8.6E-7;0;Weather
1.00272959;0.0002213;11.2186;29.3908;58.2435;255.63;0;8.6E-7;0;Weather
1.00273373;0.0002299;11.2193;29.3845;58.3624;214.3877;0;8.5E-7;0;Weather
1.00273742;0.0002377;11.2199;29.3791;58.4894;121.5456;0;8.4E-7;0;Weather
1.00274154;0.0002453;11.2206;29.3735;59.1834;41.6386;0;8.4E-7;0;Weather
1.00274298;0.0002478;11.2208;29.3715;59.4799;139.4199;0;8.4E-7;0;Weather
1.00274831;0.0002564;11.2217;29.3644;60.6242;124.9762;0;8.4E-7;0;Weather
1.00274857;0.0002566;11.2217;29.364;60.7113;142.4478;0;8.4E-7;0;Weather
1.00275407;0.0002641;11.2225;29.3567;62.1184;131.0119;0;8.4E-7;0;Weather
1.00275566;0.0002647;11.2228;29.3545;62.5774;232.1621;0;8.5E-7;0;Weather
1.00275983;0.0002704;11.2234;29.3491;63.7769;134.6213;0;8.5E-7;0;Weather
1.00276179;0.0002707;11.2237;29.3463;64.2975;260.5227;0;8.6E-7;0;Weather
1.0027656;0.0002749;11.2242;29.3412;65.5501;144.1341;0;8.6E-7;0;Weather
1.00276714;0.0002748;11.2245;29.339;65.9422;244.4331;0;8.7E-7;0;Weather
1.00277261;0.0002774;11.2253;29.3312;67.6937;245.6584;0;8.8E-7;0;Weather
1.00277609;0.0002787;11.2258;29.3262;69.0401;122.357;0;8.9E-7;0;Weather
1.00277757;0.0002785;11.2261;29.3239;69.3869;225.3866;0;9.0E-7;0;Weather
