1.88156408;0.0016726;54.3815;143.8837;34.7217;325.4465;0;0;-1.0E-8;0;0
1.88156404;0.0016716;54.3816;143.8651;34.695;325.4739;0;0;0;0;1
1.88156413;0.0016714;54.3818;143.8464;34.6644;325.5057;0;0;3.0E-8;0;2
1.88156396;0.0016707;54.3819;143.8277;34.5843;325.5875;0;0;6.0E-8;0;4
1.88156424;0.0016699;54.3824;143.7717;34.4813;325.698;0;0;1.8E-7;0;7
1.8815641;0.0016704;54.3826;143.753;34.5824;325.5999;0;0;2.1E-7;0;8
1.88156424;0.0016703;54.3829;143.7156;34.5545;325.6322;0;0;2.5E-7;0;11
1.88156441;0.0016694;54.3833;143.6596;34.4346;325.7541;0;0;2.0E-7;0;14
1.88156463;0.0016691;54.3835;143.6223;34.3997;325.7874;0;0;1.1E-7;0;17
1.88156482;0.0016687;54.3837;143.6036;34.3477;325.8377;0;0;4.0E-8;0;18
1.88156498;0.0016684;54.384;143.5662;34.3384;325.8431;0;0;-9.0E-8;0;20
1.88156511;0.0016677;54.3841;143.5475;34.2963;325.883;0;0;-1.5E-7;0;21
1.88156571;0.0016663;54.3848;143.4729;34.2179;325.9553;0;0;-2.9E-7;0;26
1.88156586;0.0016659;54.3853;143.4169;34.3405;325.8337;0;0;-2.2E-7;0;30
1.88156579;0.0016655;54.3855;143.3983;34.2302;325.9449;0;0;-1.7E-7;0;31
1.88156665;0.0016638;54.3857;143.3797;34.1273;326.0492;0;0;-1.0E-7;0;32
1.88156655;0.0016634;54.3861;143.3237;34.0957;326.0878;0;0;1.3E-7;0;35
1.88156654;0.0016635;54.3862;143.305;34.0862;326.1;0;0;2.0E-7;0;37
1.88156659;0.0016634;54.3864;143.2863;34.0612;326.1278;0;0;2.8E-7;0;38
1.88156672;0.0016635;54.3868;143.2303;34.0522;326.1442;0;0;4.6E-7;0;41
1.88156643;0.0016635;54.3872;143.193;33.9743;326.2251;0;0;5.3E-7;0;44
1.8815659;0.0016637;54.3877;143.1371;33.8312;326.3686;0;0;5.6E-7;0;47
1.88156547;0.0016634;54.3882;143.0811;33.7148;326.4804;0;0;5.3E-7;0;51
